Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Telefax,Número de camas instaladas,Dependencia Patrimonial,Dependencia Funcional,Finalidad Asistencial,Observaciones,Concierto,Acreditación Docente
281071,HOSPITAL UNIVERSITARIO FUNDACIÓN ALCORCÓN,MADRID,MADRID,Alcorcón,"Budapest, 1",28922,916219400,916219902,400,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,GENERAL,Fundación Pública,NO,SI
030089,SANATORIO SAN JORGE S.L.,COMUNIDAD VALENCIANA,ALICANTE,Alcoy/Alcoi,"Oliver, 55",03802,965330400,965330400,26,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,NO
030067,HOSPITAL VIRGEN DE LOS LIRIOS,COMUNIDAD VALENCIANA,ALICANTE,Alcoy/Alcoi,"Polígono Caramanchel, s/n",03804,965537400,965537448,287,SEGURIDAD SOCIAL,CONSELLERIA DE SANIDAD. G. VALENCIANA,GENERAL,,NO,SI
081192,Centre Sociosanitari Can Torras,CATALUÑA,BARCELONA,Alella,"CT EL MASNOU A ALELLA, .1",08328,935551994,935555559,119,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,NO,NO
110086,HOSPITAL PUNTA DE EUROPA,ANDALUCÍA,CÁDIZ,Algeciras,"Ctra. de Getares, s/n",11207,956025000,956025057,0,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,SI
110259,COMPLEJO HOSPITALARIO PUNTA DE EUROPA,ANDALUCÍA,CÁDIZ,Algeciras,"Ctra de Getares, s/n",11207,956025000,956025057,327,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,SI
030036,"CLINICA VISTAHERMOSA GRUPO HLA, S.L. (Sociedad Unipersonal)",COMUNIDAD VALENCIANA,ALICANTE,Alicante/Alacant,"Av. de Denia, 103",03015,965264200,965269056,106,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,SI
250210,Sant Joan de Déu Terres de Lleida,CATALUÑA,LLEIDA,Almacelles,"CT N-240, .111",25100,973740010,973741193,99,OTRO PRIVADO BENÉFICO,PRIVADO-BENÉFICO (IGLESIA),PSIQUIATRICO,,NO,NO
020136,HOSPITAL GENERAL DE ALMANSA,CASTILLA-LA MANCHA,ALBACETE,Almansa,"Avda. Adolfo Suárez, s/n",02640,967339526,967339547,93,COMUNIDAD AUTÓNOMA,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,GENERAL,,NO,NO
060080,HOSPITAL "FUNDACIÓN SAN JUAN DE DIOS DE EXTREMADURA",EXTREMADURA,BADAJOZ,Almendralejo,"Paseo de la Piedad, 5",06200,924670017,924662805,101,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),GERIATRIA Y/O LARGA ESTANCIA,,SI,NO
060242,HOSPITAL TIERRA DE BARROS,EXTREMADURA,BADAJOZ,Almendralejo,"Crta. Nal 630, km 654,300",06200,924699200,924699214,0,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,GENERAL,,NO,NO
250175,Residència Terraferma,CATALUÑA,LLEIDA,Alpicat,"CR Partida del Graó, S/N",25110,973737455,973737001,137,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,NO,NO
310142,CLÍNICA PSICOGERIÁTRICA JOSEFINA ARREGUI,C. FORAL DE NAVARRA,NAVARRA,Altsasu/Alsasua,Erburua s/n,31800,948563850,948563961,21,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,PSIQUIATRICO,,SI,NO
460351,HOSPITAL UNIVERSITARIO DE LA RIBERA,COMUNIDAD VALENCIANA,VALENCIA,Alzira,"Crtra Corbera, Km. 1",46600,962458100,962458159,301,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,GENERAL,Concesión Administrativa a Entidad Privada,NO,SI
081350,Centre Polivalent Can Fosc,CATALUÑA,BARCELONA,"Ametlla del Vallès, L'","CT DE LLERONA, S/N",08480,938432786,,56,COMUNIDAD AUTÓNOMA,OTRO PRIVADO-BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,NO,NO
430252,Hospital Comarcal d'Amposta,CATALUÑA,TARRAGONA,Amposta,"CR JACINT VERDAGUER, 11",43870,977700050,977702894,88,MUNICIPIO,MUNICIPIO,GENERAL,,,NO
430287,Unitat Polivalent en Salut Mental d'Amposta,CATALUÑA,TARRAGONA,Amposta,"CR Amèrica, 15",43870,977338565,,127,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,PSIQUIATRICO,,NO,NO
230145,HOSPITAL ALTO GUADALQUIVIR,ANDALUCÍA,JAÉN,Andújar,"Av. Blas Infante, s/n",23740,953021575,953021405,67,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,Empresa Pública,NO,NO
290154,HOSPITAL COMARCAL DE ANTEQUERA,ANDALUCÍA,MALAGA,Antequera,"Av. del Poeta Muñoz Rojas, s/n",29200,951061008,951291009,159,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,SI
090079,HOSPITAL SANTOS REYES,CASTILLA Y LEÓN,BURGOS,Aranda de Duero,"Av. Ruperta Baraya, 6",09400,947522000,947522012,123,OTRO PRIVADO BENÉFICO,SANIDAD CASTILLA Y LEÓN-SACYL,GENERAL,,NO,NO
090085,HOSPITAL RESIDENCIA ASISTIDA DE LA LUZ,CASTILLA Y LEÓN,BURGOS,Aranda de Duero,"Duratón, 2",09400,947500150,947507583,45,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,SI,NO
281292,HOSPITAL UNIVERSITARIO DEL TAJO,MADRID,MADRID,Aranjuez,"Avda. Amazonas Central, s/n",28300,918014101,918014302,98,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,GENERAL,,NO,NO
081616,Comunitat Terapèutica Arenys de Munt,CATALUÑA,BARCELONA,Arenys de Munt,"CT Barri Orient  \"CAN ZARIQUIEY\", 26",08358,937938006,937951037,42,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,PSIQUIATRICO,,NO,NO
281281,HOSPITAL UNIVERSITARIO DEL SURESTE,MADRID,MADRID,Arganda del Rey,"Ronda del Sur, 10",28500,918394454,918394278,132,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,GENERAL,,NO,NO
081568,ITA Maresme,CATALUÑA,BARCELONA,Argentona,"CR Baró de Viver, 58",08310,937530062,937533288,77,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,OTROS MONOGRAFICOS,,NO,NO
380348,HOSPITAL DEL SUR,CANARIAS,SANTA CRUZ DE TENERIFE,Arona,Calle Delta Nº 2,38640,922174741,922174743,0,COMUNIDAD AUTÓNOMA,SERVICIO CANARIO DE SALUD,GENERAL,,NO,SI
380146,HOSPITEN SUR,CANARIAS,SANTA CRUZ DE TENERIFE,Arona,"Siete Islas, 8 (Playa de las Américas)",38660,922750022,922793618,256,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,NO
200202,HOSPITAL PSIQUIÁTRICO SAN JUAN DE DIOS,PAÍS VASCO,GUIPÚZCOA,Arrasate/Mondragón,"Barrio Gesalibar, 14",20509,943793900,943770719,299,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),PSIQUIATRICO,,SI,NO
200198,HOSPITAL AITA MENNI,PAÍS VASCO,GUIPÚZCOA,Arrasate/Mondragón,"Barrio Gesalibar, 15",20509,943794411,943796161,442,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),PSIQUIATRICO,,SI,NO
200185,ORGANIZACIÓN SANITARIA INTEGRADA ALTO DEBA,PAÍS VASCO,GUIPÚZCOA,Arrasate/Mondragón,"Avda. Navarra, 16",20500,943035300,943035314,90,COMUNIDAD AUTÓNOMA,SERVICIO VASCO DE SALUD-OSAKIDETZA,GENERAL,,NO,SI
350249,HOSPITAL INSULAR DE LANZAROTE,CANARIAS,LAS PALMAS,Arrecife,"Juan de Quesada, s/n",35500,928810000,928812263,80,DIPUTACIÓN O CABILDO,DIPUTACIÓN O CABILDO,GERIATRIA Y/O LARGA ESTANCIA,,SI,SI
350228,HOSPITAL DOCTOR JOSÉ MOLINA OROSA,CANARIAS,LAS PALMAS,Arrecife,"Ctra. Arrecife-Tinajo, km. 1,3",35500,928595103,928815034,292,SEGURIDAD SOCIAL,SERVICIO CANARIO DE SALUD,GENERAL,,NO,SI
330117,FUNDACIÓN HOSPITAL DE AVILÉS,PPDO. DE ASTURIAS,ASTURIAS,Avilés,"Cabruñana, 19",33402,985563654,985525236,89,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,MEDICO-QUIRURGICO,,SI,SI
330100,HOSPITAL  UNIVERSITARIO "SAN AGUSTÍN",PPDO. DE ASTURIAS,ASTURIAS,Avilés,"Camino de Heros, 6",33400,985123000,985123010,436,SEGURIDAD SOCIAL,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS-SESPA,GENERAL,,NO,SI
060286,CLINICA EXTREMEÑA DE SALUD,EXTREMADURA,BADAJOZ,Badajoz,Federico Mayor Zaragoza s/n,06006,924211818,924270888,20,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,SI
081694,Institut Català d'Oncologia Badalona (ICO),CATALUÑA,BARCELONA,Badalona,"CT CANYET, S/N",08916,934651200,934978843,36,ENTIDADES PÚBLICAS,OTROS PÚBLICOS,ONCOLOGICO,,,NO
080333,Institut Guttmann,CATALUÑA,BARCELONA,Badalona,"CM CAN RUTI, S/N",08916,934977700,934977707,152,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,TRAUMATOLOGIA Y/O REHABILITACION,,,NO
080667,Hospital Universitari Germans Trias i Pujol de Badalona,CATALUÑA,BARCELONA,Badalona,"CT CANYET, S/N",08916,934651200,934978843,502,SEGURIDAD SOCIAL,INSTITUTO CATALÁN DE LA SALUD,GENERAL,,,SI
080673,Hospital Municipal de Badalona,CATALUÑA,BARCELONA,Badalona,"VI AUGUSTA, 9",08911,934648300,934648391,140,MUNICIPIO,PRIVADO NO BENÉFICO,GENERAL,,,SI
080689,Centre Sociosanitari El Carme,CATALUÑA,BARCELONA,Badalona,"CM SANT JERONI DE LA MURTRA, 60",08917,935074710,934644905,210,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,NO,NO
250169,Hestia Balaguer,CATALUÑA,LLEIDA,Balaguer,"CR Gregori Gallego, 22-28",25600,973450304,973451321,120,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,NO,NO
170097,Clínica Salus Infirmorum,CATALUÑA,GIRONA,Banyoles,"PS Mossèn Lluís Constans, 130",17820,972570208,972573202,100,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),GENERAL,,,NO
480182,OSI BARAKALDO-SESTAO,PAÍS VASCO,VIZCAYA,Barakaldo,"Av. Antonio Miranda, 5",48902,944006700,944006727,128,SEGURIDAD SOCIAL,SERVICIO VASCO DE SALUD-OSAKIDETZA,GENERAL,,NO,SI
480176,HOSPITAL UNIVERSITARIO DE CRUCES,PAÍS VASCO,VIZCAYA,Barakaldo,"Pza de Cruces, 12",48903,946006000,946006067,912,SEGURIDAD SOCIAL,SERVICIO VASCO DE SALUD-OSAKIDETZA,GENERAL,,NO,SI
220054,HOSPITAL DE BARBASTRO,ARAGÓN,HUESCA,Barbastro,"Ctra. Nacional 240, s/n",22300,974249000,974249074,161,SEGURIDAD SOCIAL,SERVICIO ARAGONÉS DE SALUD-SALUD,GENERAL,,NO,SI
110282,HOSPITAL QUIRÓN CAMPO DE GIBRALTAR,ANDALUCÍA,CÁDIZ,"Barrios, Los","Parque Empresarial \"Las Marismas de Palmones\", Edificio ARTTYSUR",11379,956798301,,62,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,NO,NO
180093,HOSPITAL COMARCAL DE BAZA,ANDALUCÍA,GRANADA,Baza,"Ctra. de Murcia, Km. 1,6",18800,958031303,958031392,117,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,SI
310109,CENTRO HOSPITALARIO BENITO MENNI,C. FORAL DE NAVARRA,NAVARRA,Baztan,"Mendinueta, s/n. (Elizondo)",31700,948452162,948452478,148,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),PSIQUIATRICO,,SI,NO
290393,FUNDACIÓN CUDECA. CENTRO DE CUIDADOS PALIATIVOS,ANDALUCÍA,MALAGA,Benalmádena,"Av. del Cosmos, s/n (Arroyo de la Miel-Benalmádena Costa)",29631,952564910,952564922,15,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,OTROS MONOGRAFICOS,,NO,NO
290427,HOSPITAL DE ALTA RESOLUCIÓN DE BENALMÁDENA,ANDALUCÍA,MALAGA,Benalmádena,"Avda. Arroyo Hondo, s/n",29630,951976000,951976093,48,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,NO
290405,XANIT HOSPITAL INTERNACIONAL,ANDALUCÍA,MALAGA,Benalmádena,"Avda. de los Argonautas, s/n (Arroyo de la Miel-Benalmádena Costa)",29630,952443119,952576661,125,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,NO,NO
490065,HOSPITAL DE BENAVENTE,CASTILLA Y LEÓN,ZAMORA,Benavente,"Luisa Mozo, 6",49600,980631900,980630105,0,COMUNIDAD AUTÓNOMA,SANIDAD CASTILLA Y LEÓN-SACYL,GENERAL,,SI,NO
030328,HOSPITAL IMED LEVANTE,COMUNIDAD VALENCIANA,ALICANTE,Benidorm,"Dr. Ramón y Cajal, 7",03053,966878787,965861756,100,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,NO
030092,HOSPITAL CLÍNICA BENIDORM,COMUNIDAD VALENCIANA,ALICANTE,Benidorm,"Av. Alfonso Puchades, 8",03501,965853850,965864345,163,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,SI
080692,Hospital Comarcal de Sant Bernabé,CATALUÑA,BARCELONA,Berga,"CT DE RIBES, S/N",08600,938243400,938243416,150,ENTIDADES PÚBLICAS,PRIVADO NO BENÉFICO,GENERAL,,,NO
480195,RED DE SALUD MENTAL DE BIZKAIA (HOSPITAL DE BERMEO),PAÍS VASCO,VIZCAYA,Bermeo,"Tompoi Bidea, s/n",48370,946029000,946029020,131,COMUNIDAD AUTÓNOMA,SERVICIO VASCO DE SALUD-OSAKIDETZA,PSIQUIATRICO,,NO,SI
460168,HOSPITAL PSIQUIÁTRICO PROVINCIAL,COMUNIDAD VALENCIANA,VALENCIA,Bétera,"Ctra. Valencia-Torres Torres, km. 9",46117,961699080,961699052,40,DIPUTACIÓN O CABILDO,DIPUTACIÓN O CABILDO,PSIQUIATRICO,,NO,NO
170237,Hospital Comarcal de Blanes,CATALUÑA,GIRONA,Blanes,"CT Accés Cala Sant Francesc, 5",17300,972353264,972353343,121,ENTIDADES PÚBLICAS,OTROS PÚBLICOS,GENERAL,,,NO
170101,Hospital de Sant Jaume,CATALUÑA,GIRONA,Blanes,"CR JAUME ARCELOS, 1",17300,972331550,972333679,23,OTRO PRIVADO BENÉFICO,OTROS PÚBLICOS,GERIATRIA Y/O LARGA ESTANCIA,,NO,NO
281090,HOSPITAL UNIVERSITARIO HM  MONTEPRÍNCIPE,MADRID,MADRID,Boadilla del Monte,"Av. Montepríncipe, 25",28660,917089900,912110118,170,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,SI
410353,HOSPITAL SAN JUAN DE DIOS DE EL ALJARAFE,ANDALUCÍA,SEVILLA,Bormujos,"Avda. San Juan de Dios, s/n",41930,955050550,955059162,200,PRIVADO-BENÉFICO (IGLESIA),SERVICIO ANDALUZ DE SALUD,GENERAL,,SI,SI
410212,RESIDENCIA DE SALUD MENTAL NUESTRA SEÑORA DEL CARMEN,ANDALUCÍA,SEVILLA,Bormujos,"Av. Rio Pudio, s/n",41930,955723391,954905674,54,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,PSIQUIATRICO,,NO,NO
380316,HOSPITAL GENERAL DE LA PALMA,CANARIAS,SANTA CRUZ DE TENERIFE,Breña Alta,"Carretera La Cumbre, 28. Buenavista de Arriba",38713,922185000,922185084,198,COMUNIDAD AUTÓNOMA,SERVICIO CANARIO DE SALUD,GENERAL,,NO,SI
281180,HOSPITAL LOS MADROÑOS,MADRID,MADRID,Brunete,"Crtra. M-501 Km 17,900 (Vía de Servicio)",28690,918163526,918159728,53,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,NO
070162,HOSPITAL JOAN MARCH,ILLES BALEARS,ILLES BALEARS,Bunyola,"Ctra. de Bunyola, km. 12",07193,871202000,871202497,106,COMUNIDAD AUTÓNOMA,COMUNIDAD AUTÓNOMA,GERIATRIA Y/O LARGA ESTANCIA,,SI,NO
140116,HOSPITAL COMARCAL INFANTA MARGARITA,ANDALUCÍA,CÓRDOBA,Cabra,"Av. de Góngora, s/n",14940,957021300,957021322,202,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,SI
100089,COMPLEJO HOSPITALARIO DE CÁCERES,EXTREMADURA,CÁCERES,Cáceres,"Av.Pablo Naranjo, s/n",10003,927256200,927256202,520,ENTIDADES PÚBLICAS,SERVICIO EXTREMEÑO DE SALUD-SES,GENERAL,,NO,SI
100020,HOSPITAL PROVINCIAL NUESTRA SEÑORA DE LA MONTAÑA,EXTREMADURA,CÁCERES,Cáceres,"Av. de España, s/n",10001,927256800,927256816,0,DIPUTACIÓN O CABILDO,SERVICIO EXTREMEÑO DE SALUD-SES,GENERAL,,NO,SI
100015,HOSPITAL SAN PEDRO DE ALCANTARA,EXTREMADURA,CÁCERES,Cáceres,"Av. Pablo Naranjo, s/n",10003,927256200,927256202,0,SEGURIDAD SOCIAL,SERVICIO EXTREMEÑO DE SALUD-SES,GENERAL,,NO,SI
260132,CENTRO  SOCIOSANITARIO  DE CONVALECENCIA NUESTRA SEÑORA VIRGEN DEL CARMEN,LA RIOJA,LA RIOJA,Calahorra,Santiago Ramón y Cajal S/n,26500,941010000,941010001,75,COMUNIDAD AUTÓNOMA,PRIVADO NO BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,NO,NO
260099,FUNDACIÓN HOSPITAL CALAHORRA,LA RIOJA,LA RIOJA,Calahorra,"Ctra. Logroño, s/n",26500,941151000,941151006,80,SEGURIDAD SOCIAL,SERVICIO RIOJANO DE SALUD,GENERAL,Fundación Pública,SI,NO
500153,HOSPITAL ERNEST LLUCH MARTIN,ARAGÓN,ZARAGOZA,Calatayud,"Ctra. de Sagunto-Burgos, km. 254",50300,976880964,976880470,122,SEGURIDAD SOCIAL,SERVICIO ARAGONÉS DE SALUD-SALUD,GENERAL,,NO,SI
081311,Residència Santa Susanna,CATALUÑA,BARCELONA,Caldes de Montbui,"CR FONT I BOET, 16",08140,938654994,938653619,81,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,NO,NO
080706,Hospital Comarcal Sant Jaume de Calella,CATALUÑA,BARCELONA,Calella,"CR SANT JAUME, 209-217",08370,937690201,937694411,233,MUNICIPIO,OTROS PÚBLICOS,GENERAL,,,SI
170118,Hospital de Campdevànol,CATALUÑA,GIRONA,Campdevànol,"CT DE GOMBREN, 20",17530,972730028,972730223,80,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,GENERAL,,,NO
330138,HOSPITAL CARMEN Y SEVERO OCHOA,PPDO. DE ASTURIAS,ASTURIAS,Cangas del Narcea,"Sienra, 11",33800,985812346,985812236,103,SEGURIDAD SOCIAL,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS-SESPA,GENERAL,,NO,NO
300124,HOSPITAL COMARCAL DEL NOROESTE,REGIÓN DE MURCIA,MURCIA,Caravaca de la Cruz,"Av. Miguel Espinosa, 1",30400,968709100,968707219,105,SEGURIDAD SOCIAL,SERVICIO MURCIANO DE SALUD,GENERAL,,NO,SI
300130,CLÍNICA DOCTOR BERNAL S.L.,REGIÓN DE MURCIA,MURCIA,Caravaca de la Cruz,"Dr. Robles, s/n",30400,968705541,968707914,39,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,SI,NO
460333,HOSPITAL NISA AGUAS VIVAS,COMUNIDAD VALENCIANA,VALENCIA,Carcaixent,"Urbanización Aguas Vivas, s/n",46792,962588800,962975016,96,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,NO
370074,HOSPITAL LOS MONTALVOS,CASTILLA Y LEÓN,SALAMANCA,Carrascal de Barregas,"Carretera Ciudad Rodrigo, s/n",37192,923330163,923330418,0,COMUNIDAD AUTÓNOMA,SANIDAD CASTILLA Y LEÓN-SACYL,GENERAL,,NO,NO
300351,COMPLEJO HOSPITALARIO UNIVERSITARIO DE CARTAGENA,REGIÓN DE MURCIA,MURCIA,Cartagena,"Pº Alfonso XIII, 61",30203,968504800,968504296,646,SEGURIDAD SOCIAL,SERVICIO MURCIANO DE SALUD,GENERAL,,NO,SI
300362,HOSPITAL GENERAL UNIVERSITARIO SANTA LUCIA,REGIÓN DE MURCIA,MURCIA,Cartagena,"Mezquita, s/n. Paraje Los Arcos. Barrio de Santa Lucía",30202,968128600,,0,COMUNIDAD AUTÓNOMA,SERVICIO MURCIANO DE SALUD,GENERAL,,NO,SI
300373,HOSPITAL PERPETUO SOCORRO ALAMEDA,REGIÓN DE MURCIA,MURCIA,Cartagena,Alameda de San Anton nº 6,30205,968115055,968527154,109,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,SI,NO
300340,RESIDENCIA LOS ALMENDROS,REGIÓN DE MURCIA,MURCIA,Cartagena,"Paraje Los Pinos, s/n (Perín)",30396,968168716,968538054,60,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,SI,NO
300145,HOSPITAL GENERAL UNIVERSITARIO SANTA MARÍA DEL ROSELL,REGIÓN DE MURCIA,MURCIA,Cartagena,"Pº Alfonso XIII, 61",30203,968504800,968504296,0,SEGURIDAD SOCIAL,SERVICIO MURCIANO DE SALUD,GENERAL,,NO,SI
300161,HOSPITAL DE LA CARIDAD - LOS PINOS,REGIÓN DE MURCIA,MURCIA,Cartagena,Camino Barrio Peral s/n (Los Barreros),30310,968510300,968510300,164,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,SI,NO
300177,HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,REGIÓN DE MURCIA,MURCIA,Cartagena,"Sebastián Feringan, 12",30205,968510500,968536976,210,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,MEDICO-QUIRURGICO,,SI,NO
410375,HOSPITAL NISA SEVILLA-ALJARAFE,ANDALUCÍA,SEVILLA,Castilleja de la Cuesta,"Avda. Placido Fernandez Viagas, s/n",41950,954464000,954161503,323,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,NO,NO
300196,FUNDACION HOSPITAL REAL PIEDAD,REGIÓN DE MURCIA,MURCIA,Cehegín,"Pza del Mesoncico, 3 y Mayor, 22",30430,968741156,968741246,80,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,GERIATRIA Y/O LARGA ESTANCIA,,SI,NO
280761,HOSPITAL DE LA FUENFRÍA,MADRID,MADRID,Cercedilla,"Ctra. de Las Dehesas, s/n",28470,918520300,918521567,192,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,GERIATRIA Y/O LARGA ESTANCIA,,NO,SI
110260,CLINICA NOVO SANCTI PETRI,ANDALUCÍA,CÁDIZ,Chiclana de la Frontera,"Urb. Novo Sancti Petri, s/n",11130,956495000,956498415,37,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,NO,NO
