Nombre,Comunidad Autónoma,Provincia,Municipio,Localidad,Direccion,Código Postal,Telefono,Zona Básica,Área de Salud,Modalidad Gestión,Dependencia de Gestión,Tipo de Centro,Acreditación Docente
PONTE DO PORTO,GALICIA,A CORUÑA,Camariñas,PONTE DO PORTO (SAN PEDRO),"C/ CURROS, S/N",15121,981730895,CAMARIÑAS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
CAMELLE,GALICIA,A CORUÑA,Camariñas,CAMELLE (DIVINO ESPIRITÚ SANTO)),"C/ CAMPO DA AREA, S/N",15121,981710513,CAMARIÑAS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
CAMARIÑAS,GALICIA,A CORUÑA,Camariñas,CAMARIÑAS (SAN XURXO),"C/ RÍO DO PRADO, S/N",15123,981736200,CAMARIÑAS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CAMBRE,GALICIA,A CORUÑA,Cambre,CAMBRE (SANTA MARÍA),"C/ SAMOSTEIRO, Nº 4",15660,981676640,CAMBRE,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
O TEMPLE,GALICIA,A CORUÑA,Cambre,TEMPLE (O),"C/ COSTA TAPIA, Nº 3",15679,981651272,CAMBRE,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CARBALLO,GALICIA,A CORUÑA,Carballo,CARBALLO (SAN XOÁN),"AVDA. AMBULATORIO, S/N",15100,981701828,CARBALLO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CARRAL,GALICIA,A CORUÑA,Carral,PALEO (SANTO ESTEVO),"C/ BELVIS DE PALEO, S/N",15175,981613421,CARRAL,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CEE,GALICIA,A CORUÑA,Cee,CEE (SANTA MARÍA DA XUNQUEIRA),"C/ INDEPENDENCIA, Nº 1",15270,981747098,CEE,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
A SILVA,GALICIA,A CORUÑA,Cerceda,SILVA (A),"AVDA. CORUÑA, S/N",15186,981692606,CERCEDA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
CERCEDA,GALICIA,A CORUÑA,Cerceda,CERCEDA (SAN MARTIN),"C/ SAUDE, S/N",15185,981686168,CERCEDA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
FIGUEIRAS-COIROS,GALICIA,A CORUÑA,Coirós,LESA (SANTA MARINA),"LUGAR FIGUEIRAS, S/N",15316,981956506,COIRÓS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CORCUBION,GALICIA,A CORUÑA,Corcubión,CORCUBIÓN (SAN MARCOS),"AVDA. VIÑA, S/N",15130,981745552,CORCUBION,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
AGUALADA,GALICIA,A CORUÑA,Coristanco,AGUALADA (SAN LOURENZO),"C/ MANUEL ABELENDA, S/N",15148,981734731,CORISTANCO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CORISTANCO,GALICIA,A CORUÑA,Coristanco,CORISTANCO (SAN PAIO),"C/ PATACA, S/N",15147,981734301,CORISTANCO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
ADORMIDERAS,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"C/ JUAN SEBASTIAN ELCANO (DEL), Nº 15",15002,981211133,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
NOVO MESOIRO,GALICIA,A CORUÑA,"Coruña, A",ELVIÑA (SAN VICENTE DE),"C/ OS ANCARES, Nº 2",15190,981081899,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
SAN JOSE,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"C/ COMANDANTE FONTANES, Nº 008",15003,981226335,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
O CASTRILLON,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"C/ GENERAL SALCEDO MOLINUEVO, Nº 3",15009,981132925,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
ELVIÑA-MESOIRO,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"C/ ALEXANDER VON HUMBOLDT, S/N",15008,981247688,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
FEDERICO TAPIA,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"C/ FEDERICO TAPIA, Nº 73",15005,981241023,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
LABAÑOU,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"C/ HONDURAS, S/N",15011,981268384,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
OS MALLOS,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"CL NAPOLEÓN BONAPARTE, Nº 1",15007,981168770,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
CASA DO MAR,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"AVENIDA DO EXERCITO, Nº 2-A",15006,981170359,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
O VENTORRILLO,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"AVDA. DE FINISTERRE, Nº 316",15010,981142850,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
MATOGRANDE,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"RÚA LUIS QUINTAS GOYANES, Nº 1",15009,981286665,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
OS ROSALES,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"C/ ALFONSO RODRIGUEZ CASTELAO, S/N",15011,981647851,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
MONTE ALTO - A TORRE,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"PLAZA LUIS RODRÍGUEZ LAGO, Nº 2",15002,981212520,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
ABENTE Y LAGO,GALICIA,A CORUÑA,"Coruña, A",CORUÑA (A),"PASEO SIR JOHN MOORE, Nº 2",15001,981202622,CORUÑA (A),A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
TARRIO,GALICIA,A CORUÑA,Culleredo,TARRIO,"C/ CONCELLO, Nº 009",15189,981677539,CULLEREDO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
CULLEREDO,GALICIA,A CORUÑA,Culleredo,BURGO (O) (SANTIAGO),"C/ TIERNO GALVAN, S/N",15670,981666467,CULLEREDO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
O PORTÁDEGO,GALICIA,A CORUÑA,Culleredo,O PORTÁDEGO,"AV PORTÁDEGO, Nº 1",15174,981956510,CULLEREDO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CURTIS,GALICIA,A CORUÑA,Curtis,CURTIS (SANTA EULALIA),"C/ TUNEL, S/N",15310,981786261,CURTIS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
TEIXEIRO,GALICIA,A CORUÑA,Curtis,TEIJEIRO,"CL GALICIA, Nº 4",15310,981785079,CURTIS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
DUMBRIA,GALICIA,A CORUÑA,Dumbría,DUMBRÍA,"LUGAR BUXAN, S/N",15151,981744129,DUMBRIA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
EZARO,GALICIA,A CORUÑA,Dumbría,EZARO (SANTA UXIA),"LUGAR EZARO, S/N",15297,981712791,DUMBRIA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
FISTERRA,GALICIA,A CORUÑA,Fisterra,FISTERRA (SANTA MARÍA),"C/ CALAFIGUEIRA, S/N",15155,981712263,FISTERRA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
IRIXOA,GALICIA,A CORUÑA,Irixoa,IRIXOA (SAN LOURENZO),"LUGAR PAZO DE IRIXOA (O), Nº 6",15313,981793237,IRIXOA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
LARACHA,GALICIA,A CORUÑA,"Laracha, A",TORAS (SANTA MARÍA),"C/ EPIFANIO CAMPO NUÑEZ, S/N",15145,981642555,LARACHA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CAIÓN,GALICIA,A CORUÑA,"Laracha, A",CAIÓN (SANTA MARÍA DO SOCORRO),"CL CAMPO DA INSÚA, Nº 12",15145,981604033,LARACHA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
LAXE,GALICIA,A CORUÑA,Laxe,LAXE (SANTA MARÍA),"AVDA. CESAREO PONDAL, S/N",15117,981735199,LAXE,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
MALPICA,GALICIA,A CORUÑA,Malpica de Bergantiños,MALPICA DE BERGANTIÑOS (SAN XULIAN),"C/ RAMONA CRIADO, S/N",15113,981721314,MALPICA DE BERGANTIÑOS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
MIÑO,GALICIA,A CORUÑA,Miño,MIÑO (SANTA MARÍA),"C/ GALEA, S/N",15630,981782457,MIÑO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
MUXIA,GALICIA,A CORUÑA,Muxía,MUXÍA (SANTA MARÍA),"C/ SAUDE, S/N",15124,981742068,MUXIA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
MERA,GALICIA,A CORUÑA,Oleiros,MERA,"C/ VINCULEIROS, Nº 2",15177,981628544,OLEIROS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
SANTA CRUZ,GALICIA,A CORUÑA,Oleiros,PORTO DE SANTA CRUZ,"C/ RAFAEL DIESTE, Nº 002",15179,981626768,OLEIROS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
PERILLO,GALICIA,A CORUÑA,Oleiros,PERILLO (SANTA LEOCADIA),"C/ ETIOPIA, S/N",15172,981638426,OLEIROS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
A COVADA,GALICIA,A CORUÑA,Oleiros,OLEIROS,"C/ CRUZ, Nº 26",15173,981082188,OLEIROS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CESURAS,GALICIA,A CORUÑA,Oza-Cesuras,BRAGADE (SAN MAMEDE),"LUGAR BOUZAS (AS), Nº 10",15390,981790405,OZA DOS RÍOS - CESURAS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
OZA DOS RÍOS,GALICIA,A CORUÑA,Oza-Cesuras,OZA (SAN PEDRO),"LUGAR DE CASTIÑEIRAS -OS ANXELES, S/N",15380,981792535,OZA DOS RÍOS - CESURAS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
PADERNE,GALICIA,A CORUÑA,Paderne,PADERNE (SAN JUAN),"LUGAR CONSISTORIO, S/N",15314,981797468,PADERNE,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CORME,GALICIA,A CORUÑA,Ponteceso,CORME-PORTO (NUESTRA SEÑORA DE LOS REMEDIOS),"C/ VIRXE DOS REMEDIOS, S/N",15114,981738149,PONTECESO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
PONTECESO,GALICIA,A CORUÑA,Ponteceso,TELLA (SAN ELEUTERIO),"C/ EDUARDO BLANCO AMOR, Nº 16",15110,981713664,PONTECESO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
SADA,GALICIA,A CORUÑA,Sada,SADA (SANTA MARÍA),"AVDA. PARROCO VILLANUEVA, S/N",15160,981621893,SADA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
SOBRADO DOS MONXES,GALICIA,A CORUÑA,Sobrado,PORTA (SAN PEDRO),"C/ SANTIAGO DO CAMPO, Nº 40",15813,981777372,SOBRADO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
VILARMAIOR,GALICIA,A CORUÑA,Vilarmaior,VILARMAIOR (SAN PEDRO),"LUGAR ARMADA (A), Nº 18",15637,981781740,VILARMAIOR,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
PRÉSARAS,GALICIA,A CORUÑA,Vilasantar,PRÉSARAS (SAN PEDRO),"LUGAR CHOPE, S/N",15807,981778334,VILASANTAR,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
VIMIANZO,GALICIA,A CORUÑA,Vimianzo,VIMIANZO (SAN VICENZO),"C/ ROSALIA DE CASTRO, S/N",15129,981707417,VIMIANZO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
ZAS,GALICIA,A CORUÑA,Zas,ZAS (SANTO ANDRÉ),"PLAZA CAMPO, S/N",15850,981751194,ZAS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
BAIO-ZAS,GALICIA,A CORUÑA,Zas,BAIO (SANTA MARÍA),"C/ CAMPO DO ROLLO, S/N",15150,981719239,ZAS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
LUARCA,ASTURIAS (PRINCIPADO DE),ASTURIAS,Valdés,LUARCA,"BARRIO VILLAR, S/N",33700,985470229,LUARCA,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CENTRO SALUD,NO
BELÉN DE LA MONTAÑA (CP),ASTURIAS (PRINCIPADO DE),ASTURIAS,Valdés,BELÉN,"LUGAR BELÉN, S/N",33707,985470229,LUARCA,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
EL ESPÍN - COAÑA (CP),ASTURIAS (PRINCIPADO DE),ASTURIAS,Coaña,EL ESPÍN,AV DE FERNANDO JARDÓN,33710,985473550,NAVIA,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
NAVIA,ASTURIAS (PRINCIPADO DE),ASTURIAS,Navia,NAVIA,"AVDA. CARLOS PELAEZ, 20",33710,985473472,NAVIA,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CENTRO SALUD,NO
PUERTO DE VEGA,ASTURIAS (PRINCIPADO DE),ASTURIAS,Navia,PUERTO DE VEGA,AVDA. DEL CASINO,33790,985648293,NAVIA,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
TAPIA DE CASARIEGO,ASTURIAS (PRINCIPADO DE),ASTURIAS,Tapia de Casariego,TAPIA DE CASARIEGO,"C/ SAN MARTIN, Nº 7",33740,985472626,TAPIA DE CASARIEGO,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CENTRO SALUD,NO
LA CARIDAD (CP),ASTURIAS (PRINCIPADO DE),ASTURIAS,"Franco, El",A CARIDA,AV  ENRIQUE V IGLESIAS,33750,985478287,TAPIA DE CASARIEGO,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
TARAMUNDI,ASTURIAS (PRINCIPADO DE),ASTURIAS,Taramundi,TARAMUNDI,"AV GALICIA, Nº 9",33775,985646789,TARAMUNDI,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
CADAVEDO (CP),ASTURIAS (PRINCIPADO DE),ASTURIAS,Valdés,CADAVEDO,CAMPO DE LA IGLESIA,33788,985647464,TREVIAS,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
AYONES,ASTURIAS (PRINCIPADO DE),ASTURIAS,Valdés,AYONES,-,33782,985647464,TREVIAS,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
CARCEDO,ASTURIAS (PRINCIPADO DE),ASTURIAS,Valdés,CARCEDO,-,33784,985647464,TREVIAS,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
MUÑAS,ASTURIAS (PRINCIPADO DE),ASTURIAS,Valdés,MUÑAS,"LUGAR MUÑAS DE ARRIBA, S/N - CR BRIEVES",33784,985647464,TREVIAS,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
PAREDES (CP),ASTURIAS (PRINCIPADO DE),ASTURIAS,Valdés,PAREDES,"LUGAR PAREDES, S/N",33785,985647464,TREVIAS,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
TREVIAS,ASTURIAS (PRINCIPADO DE),ASTURIAS,Valdés,TREVÍAS,PLAZA DE LA IGLESIA,33780,985647464,TREVIAS,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CENTRO SALUD,NO
"QUERUAS LUGAR PAREDES, S/N",ASTURIAS (PRINCIPADO DE),ASTURIAS,Valdés,QUERÚAS,CAMINO DE LA ERA,33789,985647464,TREVIAS,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
VEGADEO,ASTURIAS (PRINCIPADO DE),ASTURIAS,Vegadeo,A VEIGA/VEGADEO,"AVDA TARAMUNDI, S/N",33770,985634155,VEGADEO,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CENTRO SALUD,NO
CASTROPOL (CP),ASTURIAS (PRINCIPADO DE),ASTURIAS,Castropol,CASTROPOL,"PASEO MUELLE, S/N",33760,985635183,VEGADEO,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
SAN TIRSO DE ABRES,ASTURIAS (PRINCIPADO DE),ASTURIAS,San Tirso de Abres,LA CARRETERA,"BARRIO LA CARRETERA, S/N",33774,985634531,VEGADEO,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
FIGUERAS (CP),ASTURIAS (PRINCIPADO DE),ASTURIAS,Castropol,FIGUERAS,"C/ LA LAGUNA, S/N - CASA DEL MAR",33794,985636245,VEGADEO,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
PRESNO,ASTURIAS (PRINCIPADO DE),ASTURIAS,Castropol,PRESNO,"PRESNO, S/N",33778,985635183,VEGADEO,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
BALMONTE,ASTURIAS (PRINCIPADO DE),ASTURIAS,Castropol,BALMONTE,"BALMONTE, S/N",33778,985635183,VEGADEO,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
BOAL,ASTURIAS (PRINCIPADO DE),ASTURIAS,Boal,BOAL,"URB. ARCO IRIS, S/N",33720,985620297,ZONA ESPECIAL BOAL,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
PESOZ,ASTURIAS (PRINCIPADO DE),ASTURIAS,Pesoz,PEZOS/PESOZ,"LUGAR PESOZ, S/N",33735,985627043,ZONA ESPECIAL GRANDAS DE SALIME Y PESOZ,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
GRANDAS DE SALIME,ASTURIAS (PRINCIPADO DE),ASTURIAS,Grandas de Salime,GRANDAS DE SALIME,"C/ PEDRO DE PEDRE, S/N",33730,985627043,ZONA ESPECIAL GRANDAS DE SALIME Y PESOZ,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
ILLANO,ASTURIAS (PRINCIPADO DE),ASTURIAS,Illano,ILLANO,LA RAMPLA,33734,985620529,ZONA ESPECIAL ILLANO,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
VILLANUEVA DE OSCOS,ASTURIAS (PRINCIPADO DE),ASTURIAS,Villanueva de Oscos,VILLANUEVA DE OSCOS,PLAZA DEL ALCALDE MAYIN,33777,985626128,ZONA ESPECIAL OSCOS,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
SANTA EULALIA DE OSCOS,ASTURIAS (PRINCIPADO DE),ASTURIAS,Santa Eulalia de Oscos,SANTA EULALIA DE OSCOS,"VILAR DE ABRAIRA, S/N",33776,985626038,ZONA ESPECIAL OSCOS,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
SAN MARTÍN DE OSCOS,ASTURIAS (PRINCIPADO DE),ASTURIAS,San Martín de Oscos,SAN MARTÍN DE OSCOS,"PLAZA INFANTAS, S/N",33777,985626169,ZONA ESPECIAL OSCOS,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
VILLAYÓN,ASTURIAS (PRINCIPADO DE),ASTURIAS,Villayón,VILLAYÓN,"PLAZA AYUNTAMIENTO, Nº 14",33717,985625088,ZONA ESPECIAL VILLAYÓN,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
PONTICIELLA,ASTURIAS (PRINCIPADO DE),ASTURIAS,Villayón,PONTICIELLA,CTRA. PONTICIELLA S/N,33718,985625088,ZONA ESPECIAL VILLAYÓN,ÁREA I: JARRIO,Pública Directa,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS (SESPA),CONSULTORIO LOCAL,NO
